"","text","country","source"
"1","///uv7grdzbdn#ohcanada","","RecurPost - Social Scheduler App"
"2","see photos of #atonresources geologists jim yates, tarek gaber and abl raheem in wadi safaga yesterday with music ""o canada by calixa lavalle - performed by the band of the ceremonial guard of the canadian armed forces"" ///wwa18mak1t#ohcanadabest wishes to all","","RecurPost - Social Scheduler App"
"3","///4sitj2kvyz#ohcanada","","RecurPost - Social Scheduler App"
"4","learn more about mining in canada from @theminingstory///vll0ynaxbo#ohcanada","","RecurPost - Social Scheduler App"
"5","celebrate with our extd canada day sale20% off your entire orr!! use co canada at checkout! that makes each neckce only $639 cad!plus free shipping!#ohcanada #canadaday #happycanadaday #canada #canadian #igerscanada#dominionday #fteducanada #canada ///lmgdlflqa5","","Twitter for Android"
"6","happy canada day!shadow lake ctre wishes you a happy canada day, and shares its celebration with you!@aoyorkregion@kerryspce@cltoronto@clontario#ohcanada #summerc2019 #canadaday #shadowke #shadowlakectre ///9dvkf04jkv ///7xqavcpgfs","Canada","Twitter for Android"
"7","the fourth week of c starts now!! oh canada! reminrdrop off time at c betwe 10am-2pm#canadaday #shadowke #ohcanada  #summerc2019 ///shzhhzbjfp","","Twitter for Android"
"8","good afternoon at the beach! #ohcanada week! #summerc2019  #shadowke ///7aew4ep5ii","Canada","Twitter for Android"
"9","canada eh#ohcanada #summerc2019 #canadaday #shadowke ///w7ejibffgq","","Twitter for Android"
"10","nicht verpass #jetztimtv zeig wir folge 3 r ""kanada-saga""! #kanada #ohcanada #tvtipp ///2rl8lcaohb","","TweetDeck"
"11","vt vacation pkgs for canadian visitors #ohcanada #canada #quebec #ontario #canadian #montreal #quebeccity #magog #vt #vtliving #vermont","","VTLIVINGCOM"
"12","locals know vt living vt vacation pkgs for canadian visitors #ohcanada #canada #quebec #ontario #canadian #montreal #quebeccity #magog #vt #vtliving #vermont","","VTLIVINGCOM"
"13","vt living is vermont vt vacation pkgs for canadian visitors #ohcanada #canada #quebec #ontario #canadian #montreal #quebeccity #magog #vt #vtliving #vermont","","VTLIVINGCOM"
"14","vt living update vt vacation pkgs for canadian visitors #ohcanada #canada #quebec #ontario #canadian #montreal #quebeccity #magog #vt #vtliving #vermont","","VTLIVINGCOM"
"15","learning more and more tunes always perfecting the art of song-roadmap-making heading to montreal tomorrow for a couple shows with @jakeclemons #ohcanada #drums #drumming #instadrum #drumlife #drumstagram ///jgel2dhsr6","United States","Instagram"
"16","#ohcanada ///5mqxw9qd4p","","Twitter for Android"
"17","@rjeff24 @wojespn only if you py for the @raptors #ohcanada","","Twitter for Android"
"18","#ohcanada  in faith hi lol #o #bejos #bonjour , i have  giv by god time i worked fed govt headquarters wt to three, twisted tree strong in foundations times injustices crimes and  my mom prayed for apple free ///mhhhkmfro3","","Instagram"
"19","ready set go at the # #horseraces and casino #ohcanada man the kids in all the hoods really brought me to life to be healed their singing to autism not talking singing im like this now ///mphkdjtsqg","","Instagram"
"20","beauty georgina #isnd #rez u see oracle spirit is there, #ohcanada ///9yhccxs9ee","","Instagram"
"21","ready set go at the # #horseraces and casino #ohcanada man the kids in all the hoods really brought me to life to be healed their singing to autism not talking singing im like this now ///mvpysk2pab","","Instagram"
"22","so kawhi gonna day where hes going today right or is he going to break las heart on inpnce day by saying hes staying in toronto #ohcanada","","Twitter for iPhone"
"23","we are lighted to be coming to quebec this year to announced the 2019 #cwprize overall winner on 9 july happy #canadaday  to everyone, and we look forward to seeing you all in quebec soon #ohcanada ///jdtunsr4al","","Twitter Web Client"
"24","the 2019 #cwprize overall winner will be announced on 9 july at the @litteratureqc in qubec city good luck to our #commonwealth regional winners its just six days to go until the announcemt#ohcanada ///prfo9mfzmo","","Twitter Web Client"
"25","oh canada - we are so proud of these 2 young bosses have a fun and safe trip to mexico cassie and brianna we will be cheering you on over herelets eat well @ the nacac u18 chionships  #ohcanada #teamcanada #winners #chions #bosses #tracklife ///ye95vh9f7w","","Twitter for iPhone"
"26","#ohcanada  ///mn5hnyy4rg","","Twitter for iPhone"
"27","#newprofilepic #ohcanada #canadaday2019 #beted ///0woqogcbx4","","Twitter for iPhone"
"28","why the hell anyone pays this fool to op his mouth is beyond me go back to crying for the knicks and start putting respect on our nations name #ohcanada #wethechs #dealwithit ///6wbc5dzdg4","","Twitter for Android"
"29","canadians pass on fireworks, go for kindness to animals instead ///sxhlt13gwx #ohcanada #post","","GGN_RPiTwitterFeed"
"30","@tessavirtue happy canada day from nc,usa! i am an american down here celebrating your wonrful country and all the great things it has brought to the world! #ohcanada ///lhuhetsg1f","","Twitter for iPhone"
"31","somebody sd me some timbits i need them! #ohcanada","","Twitter for iPhone"
"32","all the premiers let nestle do this  #canada #ohcanada @nestle shameful ///qpng1qfkni","","Twitter for iPhone"
"33","#trc #undrip #ohcanada #resintialschool #catholicchurch #catholics #shame @liberal_party @crownindigous ///tqmejtattx","","Twitter for iPhone"
"34","#canadaday its a fine day to find out if canadians are as kinky as you thought ehin this weeks blog, get ready to hear (and try) some super kooky positions!#ohcanada #canadaproud #canada///6bnkcl7g03 ///czdqxd5vey","Canada","Twitter for iPhone"
"35","@tedcruz @nike so here it is, lying rafael stating the facts about how he dost give a damn about america sit down ted youre still a putz and go back to canada if you dont like nikes stand in american values #ohcanada","United States","Twitter for Android"
"36","celebrate #canadaday with a world-famouse canadian milk bdr!#milkbags #canada #gmftrivia #growmorefdn #crop #crops #food #growmore #foodfacts #yum #milk #dairy #beverage #nutrition #drink #health #cow #funfact #ctose #ohcanada #happycanadaday #canadian #milkbdr ///gm0ohcc7nw","","Buffer"
"37","without stunt loans, i could be king! oh, wait  #ohcanada","","Twitter for Android"
"38","@mariehui im afraid i have little public sway, but ill give it a shot @surreybcevts, this is an official request to see @mariehui with @leftcoastgroup live on the main stage for #surreycanadaday #153 #ohcanada!","","Twitter for iPhone"
"39","withabang #vancouver #fireworks #canadaday2019 #canada #ohcanada #stanleypark #wanrvancouver #blessed #potd #picoftheday #photography #picoftheday #photographer #vancouverphotography #longexposure #vancouverharbour ///zwnvxndfpi","","Instagram"
"40","today we visited @butchartgarns absolutely beautiful garns i had b take a pic of me #betwetwoferns #ohcanada #butchartgarns @ the butchart garns ///izwsnedcn0","Canada","Instagram"
"41","day 10 of 14 top of whistler mountain had a snowball fight, little hike and beer and buffet at the d #whistlerbckcomb #nomnom #ohcanada #besttripever @ whistler, british colombia ///ikicuvbfju","Canada","Instagram"
"42","#ohcanada ///c8ko4ndzxo","","Facebook"
"43","youre welcomeout in the middle of nowhere victoria #bearmountain #ohcanada #latepost ///lrhvydouzl","","Instagram"
"44","a few hours ter i woke up n found myself in #victoria,bc #ohcanada #givethankhs ///4scbm7kez1","","Instagram"
"45","#victoriabc #ohcanada #givethankhs ///4c63b26ybr","","Instagram"
"46","#victoriabc they lit up the night for my brother @nipseyhussle    snoopdogg  with a toast for the king of the city!!! #givethankhs #tmc #ohcanada ///zxjxgn9jit","","Instagram"
"47","""all in fun""  no, it really isnt can the bar owner really not think this through &; come to the adult conclusion that its incredibly bad cricket &; stokes the fmes just a little why not string up a scheer or a kney facsimile #ohcanada ///zcucvloklc","","Twitter Web Client"
"48","how ironic would it be for kawhi to re-sign with toronto in the country of canada on july 4th that would be salt in the wounds #nba #kawhiwatch #kawhileonard #kers #raptors #nbafreeagcy #ohcanada","","Twitter for Android"
"49","little taste of st nite #canadaday #burlington #summernights  #ohcanada ///5jqb63navo","","Twitter for iPhone"
"50","1 ano do exato momto que eu estava embarcando no avio com pessoas que eu nunca tinha visto e se tornaram muito especiais, e uma viagem maravilhosa comeou #ohcanada","","Twitter for iPhone"
"51","members of our #milton work family rockin their #canadaday colours! #ohcanada #canadaday2019 ///4hgy99ascq","","Twitter Web App"
"52","happy #canadaday from our family to yours! #canadaday2019 #ohcanada #truorth #strongandfree ///ud65kz67oc","","Hootsuite Inc."
"53","@justintruau lol, you can focus you dont say you fooled me - not what middle css are you talking about we no longer exist because of governmts like you stop your damn greedy titled attitu &; behavior #povertybysign #ohcanada #bcpoli #cdnpoli you are 24/7 out to lunch","","Twitter Web Client"
"54","twerps, the apocalypse, pipelines and vonnegut  via @thetyee ///dp4rtoy90l they want to trash the joint as badly as their conservative buddies, but with a bouquet of pstic words #oilgreed kills #bcpoli #cdnpoli #liberals #conservatives #ohcanada #oiloff #cleanergy","","Twitter Web Client"
"55","@grandmadfp @shawn_whatley oh how the #truth is threating to the canadian people - the deliberate dumbing down of canada works brilliantly evil, the ignorance is staggering and harming healthy progress #bcpoli #cdnpoli #healthcare is a human right #ohcanada for patits sake people wake the fudge up","","Twitter for Android"
"56","@habdomination #oilgreed is eply embedd in #canadian politics nying that is like letting the water out in a fish tank #ohcanada you are a sick corrupt country and you sound &; look like america more every day #worldnews #corruption #bcpoli #cdnpoli ///pbsxieh2js","","Twitter Web Client"
"57","four-year-old girl recovering after ingesting #crystalmeth found at cground ///bkgzh2djtx #drugwar #gangwar all so ok with our governmts across #canada but they are going after gun owners - #greedkills #cdnpoli #bcpoli #ohcanada you are so lost in your crap","","Twitter Web Client"
"58","@tynamcnair @justintruau canada the country who jails warriors that ask for nothing more than clean #water  &; save their land from struction aka #oilgreed meanwhile, we pay crooks/criminals to come here &; keep pilfering &; plunring the public purse so certain politicians can get richer #ohcanada","","Twitter Web Client"
"59","@borealconserve @cathmckna miss talk alot with no substance has no inttion to support #firstnations #dreamon #ohcanada were ruled by greedy puppets #oilgreed rules ///kfopkr2y2l","","Twitter Web Client"
"60","court orrs #canada to compsate kazakh millionaire fugitive ///80iu7m6yno via @torontostar #ohcanada #cdnpoli lets invite some more corrupt bastards to canada th pay them #worldnews come to canada we welcome every criminal and we pay you to screw us sound good","","Twitter Web Client"
"61","@wearecanproud who voted for this lunatic again #justasking #ohcanada ///yvm6fwpce5","","Twitter Web Client"
"62","@kieserbill #bullshitnews all in the name of #truaugreed #ohcanada","","Twitter Web Client"
"63","@thebaumanndaily @bigeral lol, i dont want anything, but #respect should be mandatory i am sick and tired of assholes, crooks, greedy rich spoiled bastards like truau that rule my life, fuck them all, yes every party is corrupt and whipped #ohcanada #bcpoli #cdnpoli d of story","","Twitter Web Client"
"64","te sings o canada in cree at toronto blue jays game ///wrsevx3807  #firstnations you go girl - amazing voice and i love the nguage #ohcanada","","Twitter Web Client"
"65","michael  adr ops up about being dumped by nb newspapers after viral trump cartoon | cbc radio ///7b1mbvj74w wh #truth gets #fired the #world is just a tragedy #ohcanada #cdnpoli #bcpoli #ilovethetruth","","Twitter Web Client"
"66","@bigeral i dont vote for that exact reason, every fucking election the dumbed down brainwashed #canadians flock to the polls and hallelujah - they vote for another sick greedy bastard that will piler our public purse more than the asshole before #ohcanada keep the #sheepcountry alive","","Twitter Web Client"
"67","transform(self)________________________________________________________________#nomadhatting #pixert #snapseed #google #nofilter #vivefitness #toronto #ontario #ohcanada #selfie #selfportrait ///kdgrccgoeq","","Instagram"
"68","let your light shine bright!___________________________________________________________#photooftheday #ohcanada #toronto #blogto #torontophotographer #teixel #cloudporn #buddha #nomadhatting #followme ///3ivk678eed","","Instagram"
"69","thank goodness im not the only one with farmers tan @fightowsfight#sunismyenemy#ohcanada#sdlive","","Twitter for Android"
"70","a new report has intified the most highly connected countries, where innovation, online services and digitally forward-thinking lifestyles are drawing expats from across the globe #ohcanada #canada ///hkobjgcyvr","","SocialBee.io v2"
"71","canada day means break out the red pid cakeworthy fnnel @cakeworthystore #felonfalls #ohcanada #favouritefnnels ///f8abevoqsq","","Twitter for iPhone"
"72","@karinalebnc @alyssanaeher goal keepers savin games! let me know wh you want that drink! cuz i need one after that game!! haha!! #usa #ohcanada ","","Twitter for iPhone"
"73","#ohcanada #biinnews #biins #cadt @canada  here we go! #bestnews exciting times ahead with global stable-coin backed by the canadian  dolr@iqmeducation @hhunleashed @ramaibrahimemrj @nextdectrum ///hpkjhuxyr7 ///pfjruaqu8s","Canada","Twitter for iPhone"
"74","woohoo! @anthomasdoyle is singing the anthems at the @bluejays game! #yesby #ohcanada ","","Twitter for Android"
"75","i saw a beaver walking around my dam-less, resintial neighborhood, and it gave me a dirty look, like i was the one who doesnt belong here#ohcanada","Canada","Twitter for Android"
"76","ran out to the woods to pay homage to the steamy source of the #naturalhotsprings im blissed out in today! #yaynature #britishcolumbia #canada #ohcanada ///len5fg0idj ///c5gwy1mzni","","IFTTT"
"77","happy (beted) canada day to everyone! hope everyone had a great long weekd who else got to joy fireworks st night #ohcanada #canadaday #ottawacity #ottawachiro #ottawafamilychiropractic #ottawa ///9y2xtkbo13","Canada","Instagram"
"78","on canada day, im remind of the beauty and spldour of this country, and how crucial it is to protect the wilrness we take for granted happy (beted) canada day #ohcanada #conservation","","Twitter Web App"
"79","iconic canadian viewpoint morants curve with #canadianpacificrailway #parkscanada #mybanff #ohcanada ///odf72dxq5i","","Twitter for iPhone"
"80","@fairmontcll @explorecanada @fairmonthotels @travelalberta @banff_squirrel @accorhotels excellt work, team #ohcanada","","Twitter Web Client"
"81","heard at bc legisture, ""wed love to have you in our living fg"" #ohcanada","","Twitter for BlackBerry"
"82","@jodydahrouge @bradfarquhar imagine if alberta and saskatchewan both had sovereign wealth funds #ohcanadamanitoba could have one, too! they dont have to be massive pools of capital to start, but separating them out of geral tax revue is smart reinvest proceeds in own province hmm","","Twitter Web Client"
"83","#ohcanada! ///sb1aula4uv","","Twitter for BlackBerry"
"84","best to all! #ohcanada ///jzbktearcb","","Twitter for BlackBerry"
"85","@jamesboley canada day today in canada #ohcanada","","Twitter Web Client"
"86","best to all in ottawa governor geral speaking now #ohcanada ///7bwy321f5w","","Twitter for BlackBerry"
"87","#ohcanada ///ublp6kcaod","","Twitter Web Client"
"88","@victoriagold #ohcanada@tsx_tsxv @bankofcanada psst @justintruau canada day marked by ""first ore on heap leach pad"" canada mining!","","Twitter Web Client"
"89","victoria rgest ""living fg"" in canada for how many years #ohcanada ///ogbdsvs5oe","","Twitter for BlackBerry"
"90","ran into @anthomasdoyle on way into @bluejays  go jays go #ohcanada ///bmnwrrgl2n","Canada","Twitter for Android"
"91","though canadas history is not perfect - i am a proud canuck will always be caribbean by heritage, will give back to dominica  wh able but canada has legacy of inclusivity, embraced diversity, safety and a global imprint of kindness #canadaproud #ohcanada #canadaday","","Twitter Web App"
