"","word","n"
"1","#ohcanada",2204
"2","canada",1464
"3","day",1207
"4","happy",1069
"5","#canadaday",993
"6","#canada",439
"7","#happycanadaday",347
"8","#canadaday2019",252
"9","canadian",234
"10","country",229
"11","weekd",227
"12","celebrate",163
"13","#canadian",162
"14","#longweekd",124
"15","beautiful",118
"16","safe",107
"17","#canadaproud",101
"18","birthday",101
"19","frids",101
"20","hope",96
"21","july",93
"22","family",89
"23","#july1st",79
"24","celebrating",77
"25","north",77
"26","fun",76
"27","#canada152",73
"28","canadians",71
"29","live",71
"30","proud",71
"31","wishing",71
"32","#maincanada",68
"33","free",66
"34","love",66
"35","home",62
"36","#proudcanadian",59
"37","#eh",56
"38","fireworks",55
"39","im",54
"40","maple",54
"41","#toronto",53
"42","amazing",52
"43","eh",52
"44","time",52
"45","wonrful",52
"46","closed",49
"47","#canadadaylongweekd",47
"48","world",47
"49","#happybirthdaycanada",46
"50","ontario",46
"51","local",43
"52","#truorthstrongandfree",42
"53","#fteducanada",41
"54","call",41
"55","dont",41
"56","#wethorth",40
"57","celebrations",40
"58","#fireworks",39
"59","#canadasbirthday",38
"60","#celebrate",38
"61","#proudtobecanadian",38
"62","#canadadayweekd",37
"63","offer",37
"64","shop",37
"65","#truenorthstrongandfree",36
"66","#truorth",36
"67","#vancouver",36
"68","strong",36
"69","team",36
"70","#wethenorth",35
"71","joy",35
"72","pce",35
"73","toronto",35
"74","#mapleleaf",34
"75","1st",34
"76","fans",34
"77","monday",34
"78","spirit",34
"79","true",33
"80","enjoy",32
"81","#ontario",31
"82","favourite",31
"83","du",30
"84","people",30
"85","tomorrow",30
"86","#summer",29
"87","op",29
"88","wh",29
"89","white",29
"90","youre",29
"91","#explorecanada",28
"92","#redandwhite",28
"93","coast",28
"94","152nd",27
"95","life",27
"96","#july1",26
"97","#strongandfree",26
"98","holiday",26
"99","joying",26
"100","red",26
"101","british",25
"102","fellow",25
"103","hours",25
"104","canadas",24
"105","fte",24
"106","nation",24
"107","office",24
"108","ready",24
"109","#bc",23
"110","#love",23
"111","#yyc",23
"112","check",23
"113","#iamcanadian",22
"114","awesome",22
"115","join",22
"116","lake",22
"117","#dominionday",21
"118","#proudlycanadian",21
"119","celebration",21
"120","park",21
"121","summer",21
"122","#igerscanada",20
"123","grateful",20
"124","leaf",20
"125","national",20
"126","st",20
"127","tonight",20
"128","#beautifulbc",19
"129","#holiday",19
"130","#nationaldayofcanada",19
"131","#yeg",19
"132","columbia",19
"133","music",19
"134","party",19
"135","visit",19
"136","wishes",19
"137","bonne",18
"138","city",18
"139","fg",18
"140","miss",18
"141","morning",18
"142","singing",18
"143","tuesday",18
"144","#britishcolumbia",17
"145","#joycanada",17
"146","blessed",17
"147","filled",17
"148","game",17
"149","square",17
"150","win",17
"151","#canadaeh",16
"152","#celebration",16
"153","#feteducanada",16
"154","#ottawa",16
"155","#proud",16
"156","anthem",16
"157","mel",16
"158","neighbors",16
"159","perfect",16
"160","pm",16
"161","quebec",16
"162","syrup",16
"163","#explorebc",15
"164","@justintruau",15
"165","lastman",15
"166","photo",15
"167","poutine",15
"168","regur",15
"169","week",15
"170","#calgary",14
"171","#happybirthday",14
"172","alberta",14
"173","borr",14
"174","ev",14
"175","kids",14
"176","ma",14
"177","ottawa",14
"178","reminr",14
"179","share",14
"180","start",14
"181","stay",14
"182","#constitutionact1867",13
"183","#ilovecanada",13
"184","#ocanada",13
"185","avaible",13
"186","beach",13
"187","cheers",13
"188","coming",13
"189","festivities",13
"190","glorious",13
"191","heres",13
"192","june",13
"193","living",13
"194","lots",13
"195","para",13
"196","pri",13
"197","store",13
"198","#alberta",12
"199","#canadianfg",12
"200","#cdnpoli",12
"201","#happy",12
"202","#red",12
"203","#runcanadaday",12
"204","clits",12
"205","families",12
"206","forget",12
"207","happing",12
"208","whats",12
"209","#can",11
"210","#canadians",11
"211","#home",11
"212","#lovecanada",11
"213","#maple",11
"214","#sorry",11
"215","beer",11
"216","celebrated",11
"217","customers",11
"218","followers",11
"219","pns",11
"220","vancouver",11
"221","wait",11
"222","watch",11
"223","whistler",11
"224","#canadaact",10
"225","#canadaswonrnd",10
"226","#canadiangirl",10
"227","#happycanadaday2019",10
"228","#lejourconfdration",10
"229","#montreal",10
"230","#poutine",10
"231","beauty",10
"232","business",10
"233","communities",10
"234","countrys",10
"235","god",10
"236","gorgeous",10
"237","hey",10
"238","incredible",10
"239","list",10
"240","market",10
"241","nations",10
"242","note",10
"243","remember",10
"244","spectacur",10
"245","thankful",10
"246","une",10
"247","weather",10
"248","yesterday",10
"249","#beautifulbritishcolumbia",9
"250","#blessed",9
"251","#family",9
"252","#hamont",9
"253","#mycafmycanada",9
"254","#pri",9
"255","#supportlocal",9
"256","#truenorth",9
"257","@youtube",9
"258","activities",9
"259","anniversary",9
"260","bbq",9
"261","beaver",9
"262","canucks",9
"263","ctre",9
"264","doesnt",9
"265","fantastic",9
"266","favorite",9
"267","forward",9
"268","insi",9
"269","jays",9
"270","lot",9
"271","lucky",9
"272","makes",9
"273","online",9
"274","post",9
"275","saskatchewan",9
"276","sun",9
"277","super",9
"278","watching",9
"279","weeks",9
"280","#bcpoli",8
"281","#birthday",8
"282","#brton",8
"283","#canadadaywithluv",8
"284","#canadianpri",8
"285","#fg",8
"286","#frids",8
"287","#hellobc",8
"288","#patriotic",8
"289","#quebec",8
"290","#summer2019",8
"291","@canada",8
"292","calgary",8
"293","chance",8
"294","community",8
"295","damn",8
"296","deh",8
"297","details",8
"298","differt",8
"299","earth",8
"300","eving",8
"301","food",8
"302","found",8
"303","fridly",8
"304","heart",8
"305","hearts",8
"306","including",8
"307","learn",8
"308","lol",8
"309","london",8
"310","momt",8
"311","montreal",8
"312","nous",8
"313","partners",8
"314","quality",8
"315","spd",8
"316","spding",8
"317","starts",8
"318","ter",8
"319","times",8
"320","trip",8
"321","weve",8
"322","#barrie",7
"323","#cannabis",7
"324","#etsycanada",7
